                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99895,                 2.8817,                 1.4127,                0.28096,                0.41292,                0.34539,                 0.1979,                 1.2264,                 5.8215,                 1.8976,             0.00017148,             0.00017148,             0.00017148
                      2,                 1.1487,                 2.1188,                 1.4251,                0.50893,                 0.3006,                0.16888,                0.10762,                 1.8525,                  18.86,                  2.515,             0.00035371,             0.00035371,             0.00035371
                      3,                 1.2594,                 2.1676,                 1.5005,                0.00036,                 0.0754,                0.00024,                  2e-05,                    nan,                    nan,                    nan,             0.00053227,             0.00053227,             0.00053227
                      4,                 1.3278,                 1.9905,                 1.5673,                0.00564,                0.28671,                0.00876,                 0.0023,                 2.9326,                    inf,                 169.85,             0.00070714,             0.00070714,             0.00070714
                      5,                 1.2642,                 1.8906,                 1.5686,                0.33872,                0.50893,                0.00627,                0.00333,                 2.0201,                    inf,                 6.2556,             0.00087834,             0.00087834,             0.00087834
                      6,                  1.441,                 2.0375,                 1.7055,                0.00876,                0.65278,                0.01499,                0.00686,                 2.1993,                    inf,                 6.2636,              0.0010459,              0.0010459,              0.0010459
                      7,                 1.3619,                 1.8375,                 1.5718,                0.00876,                0.65278,                0.01499,                0.00686,                 3.2832,                    inf,                 6.1773,              0.0012097,              0.0012097,              0.0012097
                      8,                 1.4342,                 1.8667,                 1.6471,                0.00313,                0.04167,                0.00137,                0.00036,                 4.6917,                 332.64,                 16.024,                0.00133,                0.00133,                0.00133
                      9,                 1.4105,                 1.8196,                 1.6367,                0.33391,                0.02083,                0.02178,                 0.0109,                 4.0697,                 489.11,                 5.8165,                0.00133,                0.00133,                0.00133
                     10,                 1.3053,                 1.6746,                  1.571,                 0.0442,                0.41171,                0.01589,                0.00644,                  2.666,                 31.717,                 3.4433,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.3686,                 1.7394,                 1.6067,                0.35426,                 0.1369,                0.01029,                0.00481,                 3.0385,                  15.12,                 3.6246,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.3159,                 1.6599,                 1.5834,                0.73333,                0.09524,                0.07121,                0.04008,                  2.072,                 25.831,                 2.9237,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.1853,                 1.5421,                 1.5047,                0.42721,                0.29398,                 0.1795,                0.13746,                 2.0752,                 17.264,                 2.8943,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.2293,                 1.4757,                 1.5611,                0.28214,                0.49833,                0.29715,                0.19184,                 1.5898,                 5.5869,                 2.4412,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.2409,                 1.5688,                 1.5071,                0.42823,                 0.4127,                0.34199,                0.19058,                 1.8685,                 4.2305,                 2.7636,              0.0012451,              0.0012451,              0.0012451
